n_nodes,n_branches,n_leafs,cable_length
3.0,3.0,3.0,3.0
4548.0,655.6666666666666,678.3333333333334,281837.625
267.3443472377899,70.77664398184851,74.06978691297373,19910.7578125
4332.0,599.0,618.0,266476.875
4398.5,616.0,637.0,270590.125
4465.0,633.0,656.0,274703.375
4656.0,684.0,708.5,289518.015625
4847.0,735.0,761.0,304332.65625
