radius,intersections,cable_length,branch_points
894.3935014675386,1,8435.98,13
1788.7870029350772,15,8111.163,13
2683.180504402616,23,54209.67,173
3577.5740058701545,39,98748.97,313
4471.967507337693,3,41448.113,120
5366.361008805232,1,9038.57,17
6260.75451027277,0,3187.78,3
7155.148011740309,0,1094.6692,0
8049.541513207848,0,1822.7161,0
8943.935014675386,0,1092.478,0
9838.328516142925,0,1326.3228,0
10732.722017610464,0,1166.8049,0
11627.115519078003,0,1210.7173,0
12521.50902054554,0,1669.2262,1
13415.902522013079,0,1484.769,1
14310.296023480618,0,1369.0723,0
15204.689524948157,0,1625.7844,0
16099.083026415696,0,1737.2571,2
16993.476527883235,0,1572.4984,0
17887.87002935077,0,1385.45,0
18782.263530818313,5,14365.467,24
19676.65703228585,2,10067.153,13
20571.050533753387,1,8839.292,13
21465.444035220928,1,6127.659,4
22359.837536688465,1,6083.2485,4
23254.231038156006,0,7239.2056,4
24148.624539623543,0,4371.2207,6
25043.01804109108,0,1627.88,1
25937.41154255862,0,974.19385,0
26831.805044026158,0,2659.8596,9
