segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
0,95.87819574307949,1.0087119361489079,52724.398742917525,1,18.333333333333332,11.0,33.0,118511.38177896611
1,93.33809511662427,0.9999999839076634,52105.3259935665,1,21.370899836222332,11.0,33.0,164900.969716625
2,113.4291608812348,1.01114948966914,51820.26926379385,1,20.06450017293294,11.0,38.19350051879883,184219.1091634718
3,715.3562128164939,1.0176414326852459,0.0,6,59.60498301188151,38.19350051879883,76.56680297851562,8713207.34341288
4,93.0652217920096,1.0082694747145655,52252.36108586818,1,17.11109987894694,11.0,29.33329963684082,96433.00491681819
5,70.41892064287165,1.1577384446748125,52275.47383905183,1,19.139366149902344,11.0,35.41809844970703,97857.85274180747
6,694.7983827795456,1.0580161555575867,715.3562128164939,6,58.927516301472984,51.225399017333984,76.56680297851562,7582851.614991354
7,85.001472713438,1.0326181795099634,51667.11787286839,1,14.037566502888998,11.0,20.112699508666992,53968.279820168005
8,338.3165734012485,1.0322495395281681,1410.1545955960394,6,63.72803243001302,51.225399017333984,88.7332992553711,4658853.478314233
9,97.11269837220809,1.0126900641129737,51763.82439337392,1,18.333333333333332,11.0,33.0,120544.90945846554
10,256.8148616287166,1.0582779584462014,1748.4711689972878,6,68.55226516723633,51.225399017333984,88.7332992553711,3636333.9665510235
11,82.10511776651529,1.125255678138998,51235.76541472534,1,11.0,11.0,11.0,31210.841022398457
12,140.7859461226834,1.0104373277037428,52693.22763922544,1,30.435400009155273,20.112699508666992,38.19350051879883,355180.5448611813
13,495.9777379274251,1.0198490699799099,2005.2860306260043,6,53.28127899169922,33.0,79.70829772949219,4004226.701934943
14,98.70046452453035,1.0175812251356264,52033.3344694681,1,21.67693265279134,11.0,33.91809844970703,182670.2154222561
15,162.86873322352267,1.0074376185267624,51535.84429095586,1,36.94033241271973,11.0,79.70829772949219,1250609.164990791
16,354.48306409699376,1.0421309546545894,2501.2637685534296,6,55.807674407958984,33.0,79.70829772949219,3491695.3509048773
17,191.50055735924903,1.2188837562034216,51511.36489753884,1,27.397833506266277,11.0,38.19350051879883,578014.9669355807
18,87.29861327151067,1.0605243913135207,51709.83673212196,1,14.037566502888998,11.0,20.112699508666992,52954.59347111176
19,445.65619519978526,1.0291821573412159,2855.746832650423,6,53.105620574951175,36.037601470947266,77.0,4685393.404819398
20,102.13644147582818,0.9999999743875095,3301.403027850208,6,45.151100158691406,36.037601470947266,54.26459884643555,663018.2472763823
21,152.4143622943562,0.9999999646921408,3403.5394693260364,6,67.30639839172363,54.26459884643555,80.34819793701172,2196291.9877237715
22,119.36554429417328,1.0000000397383704,3555.9538316203925,6,78.8849983215332,77.42179870605469,80.34819793701172,2333820.6730875876
23,94.9657453878188,1.0174382039931291,51830.46987035318,1,26.856699625651043,11.0,58.570098876953125,328956.56872594234
24,127.6651607004116,1.0039681519994883,51946.02434421361,1,23.291099548339844,11.0,47.87329864501953,290168.21442242863
25,136.17905831716382,1.0526008177806727,51622.276956209564,1,28.28890037536621,11.0,53.75400161743164,479138.695744612
26,111.66148730879839,1.013837934286249,52046.60486485007,1,29.241200129191082,21.723600387573242,33.0,317305.40830976097
27,100.76991488320664,1.065331681113341,52456.61525488081,1,22.555365880330402,11.0,36.55339813232422,192270.29261575636
28,117.42724582672307,1.0467898974873482,51288.61499374689,1,21.370899836222332,11.0,33.0,208991.56261489232
29,1578.3064458067333,1.0173313892364393,3675.3193759145656,6,64.75063896179199,55.0,77.42179870605469,20403538.393733617
30,244.7470245691885,1.0000000001350606,5253.625821721298,6,67.94114875793457,60.97809982299805,74.9041976928711,3561647.570723046
31,136.3153532995459,1.005148628276194,52426.400692722375,1,20.06450017293294,11.0,38.19350051879883,247769.11145656605
32,141.29426448263075,1.118007921088426,52411.87694703397,1,27.446032842000324,11.0,51.225399017333984,468394.6760538712
33,100.68280689591244,1.0786893084746314,51994.95068762348,1,21.370899836222332,11.0,33.0,181493.08532138815
34,80.30619387720347,1.012405940214238,51899.88139995967,1,14.037566502888998,11.0,20.112699508666992,62799.89664930596
35,180.94706390953365,1.0002078072813085,51842.81200519002,1,32.28403345743815,30.852100372314453,33.0,601598.8986921151
36,99.63306722937982,1.1031982936162574,52290.011114906214,1,21.562665939331055,11.0,33.57529830932617,196635.98683832027
37,127.3540730047543,1.005616255218007,51802.6992849398,1,24.308732986450195,11.0,41.813499450683594,326063.8873247616
38,139.90181926858392,1.0315941552244032,51718.551806393945,1,30.435400009155273,20.112699508666992,38.19350051879883,361089.98920723685
39,143.09508565055359,1.0136997731625408,51006.24329754793,1,21.925533294677734,11.0,43.7765998840332,327790.05151228234
40,112.91341628660979,1.0040132818971645,51277.08532161726,1,21.370899836222332,11.0,33.0,222582.63554337082
41,117.276419491925,1.087864270078177,51273.481028360766,1,23.395933787027996,11.0,48.187801361083984,280093.7708059354
42,156.5787435234744,1.0065262851219081,51704.51120476945,1,18.333333333333332,11.0,33.0,209639.70317702243
43,146.75598864531185,1.1932958498807091,52132.921469070505,1,38.76056671142578,11.0,54.05630111694336,895341.2526897665
