node_id,type,distance_to_root
1,root,0.0
2,slab,34.64101615137755
3,slab,94.64101615137756
4,slab,184.08373525136915
5,slab,244.08373525136915
6,slab,353.6282467524024
7,slab,447.436561948871
8,slab,649.4266607161126
9,branch,1073.5350525774152
10,branch,1334.07377915598
11,branch,1528.6021886816309
12,branch,1672.9925198592389
13,branch,1742.357135077377
14,branch,1837.970464443326
15,branch,1978.321157465699
16,slab,2065.61376883688
17,slab,2134.895801139635
18,slab,2249.7870540703952
19,slab,2309.7870540703952
20,branch,2388.9439202025987
21,slab,2445.914554795094
22,slab,2525.914554795094
23,slab,2565.914554795094
24,slab,2600.5555709464716
25,slab,2704.478619400604
26,slab,2786.9407319129573
27,slab,2876.383451012949
28,slab,2942.715946820057
29,slab,3025.17805933241
30,slab,3114.620778432402
31,slab,3194.620778432402
32,slab,3277.082890944755
33,slab,3366.525610044747
34,slab,3448.9877225571
35,slab,3488.9877225571
36,slab,3523.6287387084776
37,slab,3625.6091289803335
38,slab,3710.461942722719
39,slab,3795.3147564651044
40,slab,3880.16757020749
41,slab,3971.8190841066066
42,slab,4056.6718978489926
43,slab,4101.393257398989
44,slab,4150.383052254652
45,slab,4195.104411804648
46,slab,4239.8257713546445
47,slab,4331.477285253762
48,slab,4376.198644803758
49,slab,4420.920004353754
50,slab,4465.64136390375
51,slab,4500.282380055128
52,slab,4545.003739605124
53,slab,4579.644755756502
54,slab,4599.644755756502
55,slab,4659.644755756502
56,slab,4767.348051899192
57,slab,4861.15636709566
58,slab,4930.438399398416
59,slab,4999.720431701171
60,slab,5048.710226556835
61,slab,5083.351242708212
62,slab,5149.68373851532
63,slab,5232.145851027673
64,slab,5266.786867179051
65,slab,5306.786867179051
66,slab,5404.766456890378
67,slab,5521.385494787284
68,slab,5603.847607299637
69,slab,5735.3493128244945
70,slab,5930.563746508191
71,slab,5979.5535413638545
72,slab,6042.799094567222
73,slab,6071.083365814684
74,slab,6091.083365814684
75,slab,6111.083365814684
76,slab,6155.80472536468
77,slab,6175.80472536468
78,slab,6204.088996612142
79,slab,6248.810356162138
80,slab,6333.663169904524
81,slab,6390.231712399447
