segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
0,163.1865373723417,1.0035837527197295,0.0,6,33.86599985758463,30.0,41.597999572753906,564046.9322318938
1,187.58754967680727,1.1595242562691235,17378.8097333388,1,29.79165029525757,10.0,60.882301330566406,834968.4784344108
2,531.9710568267121,1.0188344377428538,163.1865373723417,6,120.84266662597656,41.597999572753906,258.8190002441406,39493976.30992274
3,157.00069292486558,0.9999999428064258,695.1575941990538,6,316.9095001220703,258.8190002441406,375.0,50090924.72634682
4,20.96807851156813,0.9999999951491445,852.1582871239194,6,344.6405029296875,314.281005859375,375.0,7844459.964898195
5,113.9876528461451,1.0000000424246949,873.1263656354876,6,289.5435028076172,264.8059997558594,314.281005859375,30094748.538965307
6,34.57001557131045,1.000000017868004,987.1140184816327,6,257.2939987182617,249.78199768066406,264.8059997558594,7191709.489795756
7,8.381527307120106,1.0000000429633673,1021.6840340529432,6,247.96900177001953,246.156005859375,249.78199768066406,1619106.9772098423
8,201.1095967034084,0.999999964305894,1030.0655613600632,6,201.12950134277344,156.10299682617188,246.156005859375,25985404.32045086
9,160.21033295109825,0.9999999409767923,1231.1751580634716,6,120.01439666748047,83.92579650878906,156.10299682617188,7467988.224287683
10,189.34267855497058,0.9999999824139226,1391.3854910145699,6,67.19579887390137,50.46580123901367,83.92579650878906,2741352.399281139
11,107.55873763085165,1.0865073253439212,17334.83315557386,1,15.295074939727783,10.0,31.180299758911133,91673.46728058238
12,137.55959817592122,1.009736006254485,1580.7281695695406,6,42.344767252604164,30.0,50.46580123901367,677222.8127675091
13,78.85639342402108,1.0000000192410883,17231.250638993624,2,44.40694999694824,35.56829833984375,53.245601654052734,494978.2623034086
14,202.17074028053418,1.0058370247805868,17310.107032417647,1,39.32233428955078,30.0,53.245601654052734,1084423.0698768047
15,299.95690406953406,1.0084211149372182,1718.2877677454617,6,41.295125007629395,35.70859909057617,46.56850051879883,1613394.9670055942
16,97.27406610312546,1.0613470942865944,17967.21328338346,1,12.071074962615967,10.0,18.284299850463867,46830.41902335122
17,91.20955864630136,1.0462453959052718,17870.63458364939,1,12.071074962615967,10.0,18.284299850463867,40159.571121704685
18,135.03631290811924,1.041827827385656,16368.782179863809,1,19.142149925231934,10.0,30.0,186725.13872648566
