segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
0,112.68283854051974,1.0926586279430708,11123.123977819041,1,15.637249946594238,10.0,32.54899978637695,115309.5166464629
1,214.1249341866793,1.0130297791659042,10401.607843493583,1,30.86299991607666,10.0,53.45199966430664,861843.9782975147
2,159.5853279500704,1.0745752466885619,10591.953434552563,1,30.825599670410156,10.0,73.30239868164062,908815.6869304313
3,1073.535052577415,1.151021852090482,0.0,6,60.764722400241425,10.0,231.2969970703125,41597884.858890995
4,260.5387265785649,0.9999999991245995,1073.5350525774152,6,209.13700103759766,186.9770050048828,231.2969970703125,35934053.01803403
5,194.5284095256509,0.99999998797305,1334.07377915598,6,144.09850311279297,101.22000122070312,186.9770050048828,13064248.21408138
6,144.3903311776081,1.000000078629851,1528.6021886816309,6,77.23280143737793,53.245601654052734,101.22000122070312,2792775.3617607295
7,69.36461521813807,0.9999999830474822,1672.9925198592389,6,51.68520164489746,50.12480163574219,53.245601654052734,582307.2795530414
8,95.6133293659488,0.9999999446749458,1742.357135077377,6,45.713951110839844,41.3031005859375,50.12480163574219,629667.8546758242
9,140.3506930223729,1.0000000019476174,1837.970464443326,6,38.012250900268555,34.72140121459961,41.3031005859375,638697.5645166093
10,38.71721399199273,1.0000000339639836,10689.776684622913,2,53.7997989654541,49.12189865112305,58.477699279785156,352946.073874735
11,118.81633136597328,1.0610243860810424,10728.493898614906,1,25.802066167195637,10.0,49.12189865112305,363885.1419275781
12,176.1351392383489,1.0447854089388653,10716.051704202286,1,28.275150299072266,10.0,83.10060119628906,1129771.6709971917
13,173.5197663138586,1.0741903378098734,10702.269725940385,1,18.220999717712402,10.0,42.88399887084961,307767.9064568077
14,410.6227627368999,1.0372340743723565,1978.321157465699,6,33.548316955566406,30.0,46.56850051879883,1498549.7780637825
15,192.43929600463082,1.1024255248978612,11051.761088436053,1,30.28392457962036,10.0,62.85139846801758,881359.9765241129
16,97.566303550217,1.0400603318536528,10492.118876865963,1,12.071074962615967,10.0,18.284299850463867,53661.84462127095
17,217.40963185335497,1.0659383956922943,10807.928037363481,1,31.213199615478516,10.0,74.85279846191406,998790.4913825021
18,149.6899561620387,1.0241842212448682,10472.598158858927,1,19.686924934387207,10.0,32.179100036621094,223655.71922123386
19,184.9088928546547,1.0172735866764469,10193.117670584783,1,32.36067581176758,10.0,79.44270324707031,1281645.239148947
20,116.99532134166043,1.0953744526020315,10322.92540573941,1,24.722050189971924,10.0,40.60390090942383,238046.1318697956
21,217.8990852156191,1.3115983665808397,10143.073407223943,1,36.82872438430786,10.0,72.46209716796875,1694115.492582038
22,96.5685424949238,1.0796691347054441,9656.727117100261,1,16.2132248878479,10.0,18.284299850463867,89997.59999116353
23,153.33698494947828,1.0945686678548991,9936.68488220665,1,24.00547504425049,10.0,46.02190017700195,475353.18585419795
