radius,intersections,cable_length,branch_points
977.6442063496014,1,5908.87,15
1955.2884126992028,10,6714.457,6
2932.932619048804,14,72441.34,221
3910.5768253984056,17,75854.945,201
4888.221031748007,0,31298.219,93
5865.865238097608,0,1338.3362,0
6843.50944444721,0,1037.6365,0
7821.153650796811,0,994.36646,0
8798.797857146412,0,911.1543,0
9776.442063496013,0,1093.0022,0
10754.086269845615,0,942.2501,0
11731.730476195216,0,1089.2407,0
12709.374682544818,0,1113.669,0
13687.01888889442,0,1156.3235,0
14664.663095244021,0,1067.9932,0
15642.307301593622,0,1213.7635,0
16619.951507943224,0,1150.2964,0
17597.595714292824,0,1474.3164,0
18575.239920642427,0,1358.4878,0
19552.884126992027,0,1154.431,0
20530.52833334163,0,1211.0421,0
21508.17253969123,9,10201.234,17
22485.816746040833,4,12852.759,21
23463.460952390433,2,7435.7563,10
24441.105158740036,1,3843.5,1
25418.749365089636,1,5279.2925,2
26396.39357143924,1,9132.7,1
27374.03777778884,0,3205.1877,3
28351.681984138442,0,1823.1825,3
29329.326190488042,0,1904.9454,4
