id,name,units,n_segments,segment_length_mean,segment_length_median,segment_length_max,geodesic_mean,geodesic_median,geodesic_max,tortuosity_mean,tortuosity_median,tortuosity_max,sholl_max_intersections,sholl_peak_radius
1734350788,DA1_lPN_R,8 nanometer,1217,218.9620930209681,141.4213562373095,21512.498330981223,15474.630931636188,11405.24658699413,56382.55640130053,1.0744275443111724,1.0360460227423394,2.721147872019674,17,3910.5768253984056
1734350908,DA1_lPN_R,8 nanometer,1496,203.43091879812755,133.55109641671896,10907.100193579408,19949.750717729497,16744.71465114556,58050.42590086672,1.0676662429618453,1.021507529917483,2.4333795458638248,39,3577.5740058701545
722817260,DA1_lPN_R,8 nanometer,1289,213.11355687398066,143.07252491180577,20891.675788350607,46364.35855277366,51655.41955748064,54030.64487173353,1.070774101220686,1.0305565743955403,2.0799282397378445,18,21542.285166723712
