node_id,type,distance_to_root
1,root,0.0
2,slab,95.89577675789482
3,slab,243.47626327288094
4,slab,297.36503761411086
5,slab,480.1107625983085
6,branch,715.3562128164939
7,slab,862.7583021840439
8,slab,1021.4025583044595
9,slab,1200.1314032064506
10,slab,1326.5117814302873
11,branch,1410.1545955960394
12,slab,1499.4642594891004
13,branch,1748.4711689972878
14,slab,1922.7856622137688
15,branch,2005.2860306260043
16,slab,2208.922114211784
17,slab,2299.6304379753724
18,slab,2400.447103264401
19,branch,2501.2637685534296
20,slab,2668.8107768824357
21,slab,2738.38088540614
22,branch,2855.746832650423
23,slab,2987.853619276046
24,slab,3086.240610286037
25,slab,3246.403027850208
26,branch,3301.403027850208
27,branch,3403.5394693260364
28,branch,3555.9538316203925
29,branch,3675.3193759145656
30,slab,3818.2749229845613
31,slab,3984.371280560518
32,slab,4092.1488292429776
33,slab,4296.168436143883
34,slab,4474.8972810458745
35,slab,4695.994544710534
36,slab,4862.09090228649
37,slab,5068.469195718721
38,branch,5253.625821721298
39,branch,5498.372846290486
40,slab,5578.1099142074845
41,slab,5769.901467723274
42,slab,5961.693021239064
43,slab,6093.693021239064
44,slab,6220.073399462901
45,slab,6389.0586059160105
46,slab,6567.787450818001
47,slab,6723.3509426790415
48,slab,6789.3509426790415
49,slab,6930.219675902565
50,slab,7071.088409126087
51,slab,7237.184766702043
52,slab,7443.563060134274
53,slab,7624.97970766145
54,slab,7818.028924184077
55,slab,7946.309865870674
56,slab,8239.000829174976
57,slab,8447.71115474609
58,slab,8673.1440715972
59,slab,8793.643034248336
60,slab,8949.206526109378
61,slab,9067.680151866336
62,slab,9186.153777623294
63,slab,9293.931326305754
64,slab,9384.639650069343
65,slab,9544.802067633515
66,slab,9685.670800857037
67,slab,9833.251287372022
68,slab,10019.927477605272
69,slab,10202.673202589469
70,slab,10454.47471171918
71,slab,10695.472637021454
72,slab,10893.472637021454
73,slab,11011.946262778412
74,slab,11091.26839083862
75,slab,11289.26839083862
76,slab,11397.04593952108
77,slab,11537.914672744602
78,slab,11668.068427972794
79,slab,11841.296601201053
80,slab,11999.940857321468
81,slab,12103.130004037583
82,slab,12258.693495898624
83,slab,12415.804921326566
84,slab,12587.630414196512
85,slab,12766.359259098503
86,slab,12892.73963732234
87,slab,13040.320123837326
88,slab,13233.369340359952
89,slab,13400.916348688957
90,slab,13499.303339698949
91,slab,13708.013665270062
92,slab,13890.75939025426
93,slab,13960.329498777965
94,slab,14051.037822541553
95,slab,14184.858598208115
96,slab,14341.970023636057
97,slab,14523.386671163234
98,slab,14614.094994926823
99,slab,14683.665103450528
100,slab,14795.84353274957
101,slab,14878.159995258597
102,slab,14944.159995258597
103,slab,15077.980770925158
104,slab,15218.84950414868
105,slab,15397.578349050671
106,slab,15580.324074034868
107,slab,15714.14484970143
108,slab,15895.561497228608
109,slab,16036.43023045213
110,slab,16154.903856209088
111,branch,16296.446805881284
112,slab,16473.80778896566
113,slab,16543.377897489365
114,slab,16710.92490581837
115,branch,16802.82102562917
116,slab,16926.10448315199
117,slab,17086.26690071616
118,slab,17168.58336322519
119,slab,17269.400028514217
120,slab,17399.55378374241
121,slab,17469.123892266114
122,slab,17578.018336568843
123,branch,17708.973960017418
124,slab,17792.737906619193
125,slab,17948.301398480235
126,slab,18117.286604933342
127,slab,18252.90371299866
128,slab,18393.772446222185
129,slab,18487.11054133881
130,slab,18627.979274562334
131,branch,18765.398626195216
132,slab,18887.65242885878
133,slab,18975.65242885878
134,slab,19037.877825603195
135,slab,19103.877825603195
136,branch,19192.779453121162
137,slab,19297.245933243226
138,slab,19423.626311467062
139,slab,19580.737736895004
140,slab,19815.633458439694
141,slab,20037.82256708366
142,slab,20229.614120599446
143,slab,20402.842293827707
144,slab,20529.222672051543
145,slab,20717.19075444853
146,slab,20866.402014077285
147,slab,21073.94959898253
148,slab,21281.497183887775
149,slab,21399.970809644736
150,slab,21607.51839454998
151,slab,21801.817133609195
152,slab,21991.068289484134
153,slab,22164.296462712395
154,slab,22311.876949227382
155,slab,22493.29359675456
156,slab,22613.792559405698
157,slab,22775.458882429386
158,slab,22907.574336203408
159,slab,23046.69813224821
160,slab,23200.69813224821
161,slab,23362.364455271898
162,slab,23497.981563337216
163,slab,23640.55785870219
164,slab,23819.28670360418
165,slab,23927.06425228664
166,slab,24100.2924255149
167,slab,24261.95874853859
168,slab,24428.055106114545
169,slab,24570.631401479517
170,slab,24724.631401479517
171,slab,24890.727759055473
172,slab,25044.727759055473
173,slab,25256.888075797317
174,slab,25406.09933542607
175,slab,25579.327508654333
176,slab,25815.25122513913
177,slab,25964.462484767886
178,slab,26147.208209752083
179,slab,26277.361964980275
180,slab,26397.860927631413
181,slab,26528.014682859604
182,slab,26682.014682859604
183,slab,26886.03428976051
184,branch,26968.35075226954
185,slab,27141.5789254978
186,slab,27277.19603356312
187,slab,27401.64682705195
188,slab,27561.80924461612
189,slab,27721.97166218029
190,slab,27882.13407974446
191,slab,28076.432818803674
192,slab,28219.009114168646
193,slab,28478.38528886478
194,slab,28606.66623055138
195,slab,28733.046608775214
196,slab,28851.520234532174
197,slab,29072.617498196832
198,slab,29296.974356794915
199,slab,29444.554843309903
200,slab,29633.805999184842
201,slab,29811.17566964741
202,slab,29984.403842875672
203,slab,30125.272576099196
204,slab,30267.848871464168
205,slab,30457.100027339107
206,slab,30645.068109736094
207,slab,30818.296282964355
208,slab,30944.67666118819
209,slab,31106.34298421188
210,slab,31268.009307235567
211,slab,31475.556892140812
212,slab,31673.556892140812
213,slab,31845.38238501076
214,slab,31971.762763234594
215,slab,32144.990936462855
216,slab,32327.736661447052
217,slab,32496.72186790016
218,slab,32703.10016133239
219,slab,32916.39807505871
220,slab,33140.75493365679
221,slab,33344.77454055769
222,slab,33493.98580018645
223,slab,33618.43659367528
224,slab,33787.42180012839
225,slab,33966.15064503038
226,slab,34156.676233862956
227,slab,34305.88749349171
228,slab,34434.168435178304
229,slab,34575.037168401825
230,slab,34705.19092363001
231,slab,34846.05965685353
232,slab,34972.44003507737
233,slab,35159.11622531062
234,slab,35363.13583221153
235,slab,35565.96581027197
236,slab,35715.177069900725
237,slab,35864.38832952948
238,slab,36024.55074709365
239,slab,36213.80190296859
240,slab,36372.446159089006
241,slab,36513.314892312526
242,slab,36592.637020372735
243,slab,36733.505753596255
244,slab,36881.08624011124
245,slab,37023.662535476215
246,slab,37214.18812430879
247,slab,37387.41629753705
248,slab,37536.627557165804
249,slab,37679.20385253078
250,slab,37843.83677754884
251,slab,38000.94820297678
252,slab,38208.49578788203
253,slab,38397.74694375697
254,slab,38615.535832362424
255,slab,38787.36132523237
256,slab,38960.58949846063
257,slab,39114.58949846063
258,slab,39350.51321494543
259,slab,39462.69164424447
260,slab,39574.87007354351
261,slab,39710.48718160883
262,slab,39870.649599173
263,slab,40035.282524191054
264,slab,40155.78148684219
265,slab,40276.28044949333
266,slab,40425.491709122085
267,slab,40545.99067177322
268,slab,40686.85940499674
269,slab,40855.84461144985
270,slab,41009.84461144985
271,slab,41199.09576732479
272,slab,41381.84149230899
273,slab,41542.00390987316
274,slab,41743.637240451215
275,slab,41934.16282928379
276,slab,42054.66179193493
277,slab,42210.22528379597
278,slab,42370.38770136014
279,slab,42527.49912678808
280,slab,42731.51873368899
281,slab,42962.25668028642
282,slab,43041.578808346625
283,slab,43123.89527085565
284,slab,43203.21739891586
285,slab,43331.498340602455
286,slab,43479.07882711744
287,slab,43667.04690951442
288,slab,43825.69116563484
289,slab,43985.85358319901
290,slab,44104.32720895597
291,slab,44239.94431702128
292,slab,44447.49190192653
293,slab,44601.49190192653
294,slab,44709.26945060899
295,slab,44916.817035514236
296,slab,45045.09797720083
297,slab,45163.57160295779
298,slab,45275.75003225683
299,slab,45416.61876548035
300,slab,45635.51600164381
301,slab,45807.341494513756
302,slab,46001.640233572965
303,slab,46150.85149320172
304,slab,46311.01391076589
305,slab,46515.033517666794
306,slab,46686.85901053674
307,slab,46811.30980402557
308,slab,47018.85738893082
309,slab,47222.87699583172
310,slab,47370.457482346705
311,slab,47579.16780791782
312,branch,47860.02654062011
313,branch,47912.27843577845
314,slab,48047.89554384376
315,slab,48138.60386760735
316,slab,48226.60386760735
317,slab,48299.56961299517
318,slab,48378.89174105538
319,slab,48474.787517813274
320,slab,48554.10964587348
321,slab,48630.31988140651
322,slab,48738.09743008897
323,slab,48811.06317547679
324,slab,48849.1682932433
325,slab,48871.1682932433
326,slab,48902.28099161551
327,slab,48940.38610938202
328,slab,48962.38610938202
329,slab,49000.49122714854
330,slab,49022.49122714854
331,slab,49060.59634491505
332,slab,49133.56209030287
333,slab,49209.7723258359
334,slab,49328.24595159286
335,slab,49418.954275356446
336,slab,49512.29237047307
337,slab,49550.397488239585
338,slab,49599.59098374458
339,slab,49637.696101511094
340,slab,49738.51276680012
341,slab,49831.85086191675
342,slab,49869.95597968326
343,slab,49960.66430344685
344,slab,49998.769421213365
345,slab,50042.769421213365
346,slab,50125.08588372239
347,slab,50239.40123702194
348,slab,50312.36698240976
349,slab,50381.93709093346
350,slab,50496.25244423301
351,slab,50584.25244423301
352,slab,50674.9607679966
353,slab,50762.9607679966
354,slab,50853.66909176019
355,slab,50967.98444505974
356,slab,51058.692768823326
357,slab,51157.079759833316
358,slab,51219.305156577735
359,slab,51312.64325169436
360,slab,51400.64325169436
361,slab,51491.35157545795
362,slab,51617.73195368179
363,slab,51655.8370714483
364,slab,51693.94218921482
365,slab,51725.05488758702
366,slab,51747.05488758702
367,slab,51785.16000535354
368,slab,51847.385402097956
369,slab,51909.610798842376
370,slab,51971.836195586795
371,slab,52009.94131335331
372,slab,52041.054011725515
373,slab,52079.15912949203
374,slab,52117.26424725854
375,slab,52166.45774276354
376,slab,52204.56286053005
377,slab,52274.13296905375
378,slab,52343.703077577455
379,slab,52434.41140134104
380,slab,52560.79177956488
381,slab,52643.10824207391
382,slab,52696.99701641514
383,slab,52735.10213418165
384,slab,52757.10213418165
385,slab,52833.31236971468
386,slab,52871.417487481194
387,slab,52909.52260524771
388,slab,52947.62772301422
389,slab,52985.732840780736
390,slab,53023.83795854725
391,slab,53061.943076313764
392,slab,53100.04819408028
393,slab,53122.04819408028
394,slab,53160.15331184679
395,slab,53267.93086052925
396,slab,53358.63918429284
397,slab,53434.84941982587
398,slab,53553.32304558283
399,slab,53665.50147488187
400,end,53703.606592648386
401,slab,48101.52959165339
402,slab,48194.86768677001
403,branch,48394.05740750274
404,branch,48434.25941112919
405,slab,48677.25735350731
406,slab,48927.129320722524
407,branch,49144.150691362214
408,slab,49391.84621451379
409,slab,49537.77770528942
410,slab,49658.27666794056
411,slab,49748.98499170415
412,slab,49922.21316493241
413,branch,50096.22537714753
414,branch,50211.72537714753
415,slab,50398.72537714753
416,slab,50464.72537714753
417,branch,50544.04750520774
418,slab,50670.42788343158
419,slab,50802.42788343158
420,branch,50915.081266029476
421,branch,50942.84282902646
422,branch,51002.69289434984
423,slab,51095.65026530525
424,branch,51178.668276351535
425,branch,51228.168276351535
426,branch,51288.05911065096
427,slab,51404.3120676026
428,branch,51525.87825006924
429,branch,51602.69186379136
430,branch,51635.70761525204
431,branch,51746.06474220315
432,branch,51804.54357250867
433,branch,51837.376482827436
434,branch,51870.2093931462
435,branch,51940.79404259337
436,branch,52001.60401946183
437,branch,52047.07539440117
438,branch,52071.45513433744
439,branch,52108.73056400445
440,branch,52200.952047577804
441,branch,52354.40087989925
442,branch,52516.09635975115
443,slab,52627.62638303866
444,slab,52671.62638303866
445,slab,52795.44076023291
446,branch,52914.960633057475
447,branch,52995.041841839564
448,slab,53026.15454021177
449,branch,53075.348035716765
450,slab,53113.45315348328
451,slab,53151.55827124979
452,slab,53182.670969622
453,branch,53209.25859892396
454,slab,53251.13998463884
455,slab,53289.24510240535
456,branch,53332.68252012857
457,slab,53407.899658150505
458,slab,53477.46976667421
459,slab,53570.80786179083
460,slab,53643.77360717865
461,slab,53674.886305550855
462,slab,53712.99142331737
463,slab,53734.99142331737
464,slab,53773.09654108388
465,slab,53795.09654108388
466,slab,53833.2016588504
467,slab,53855.2016588504
468,slab,53886.3143572226
469,slab,53908.3143572226
470,slab,53939.42705559481
471,slab,53970.539753967016
472,slab,54008.64487173353
473,end,54030.64487173353
474,slab,48569.876519194506
475,slab,48710.745252418026
476,slab,48901.2708412506
477,slab,49042.139574474124
478,slab,49197.70306633516
479,slab,49340.27936170014
480,slab,49402.50475844456
481,branch,49514.6831877436
482,branch,49567.46288984368
483,branch,49611.463280469114
484,branch,49786.61884793031
485,branch,49820.59454985037
486,branch,49922.09430587858
487,branch,49947.55466341625
488,branch,49954.380115754495
489,branch,49971.57451666847
490,branch,50118.5064075318
491,branch,50201.02916056617
492,branch,50241.71914418058
493,branch,50275.69606191484
494,branch,50331.72478852407
495,branch,50420.13837983271
496,branch,50480.82550522906
497,branch,50567.40642249562
498,slab,50735.9519371451
499,branch,50898.36499080767
500,branch,50945.03403836598
501,slab,51112.581046694984
502,branch,51191.905697081114
503,branch,51201.526442902126
504,slab,51264.13799649333
505,branch,51330.13799649333
506,slab,51448.61162225029
507,branch,51524.5326338347
508,branch,51659.558557271645
509,branch,51725.891053078754
510,slab,51795.461161602456
511,slab,51865.03127012616
512,slab,51914.22476563115
513,slab,51976.45016237557
514,slab,52046.02027089927
515,branch,52154.85054228256
516,slab,52243.6667842902
517,slab,52319.87701982323
518,slab,52369.070515328225
519,slab,52407.17563309474
520,slab,52429.17563309474
521,slab,52451.17563309474
522,slab,52482.288331466945
523,slab,52520.39344923346
524,slab,52551.506147605665
